French,English
histoire,history
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
côté,side
pouvoir,power
vieux,old
tiens,here
tellement,so much
venu,came
suite,after
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
filles,girls
jouer,to play
